category,top_keys
政治,"[('柯文哲', 110), ('傅崐萁', 89), ('卓榮泰', 79), ('賴清德', 75), ('蔣萬安', 67), ('劉世芳', 38), ('柯建銘', 37), ('川普', 32), ('郭智輝', 31), ('陳佩琪', 31), ('徐巧芯', 24), ('王世堅', 22), ('劉振亞', 22), ('蕭美琴', 15), ('區桂芝', 15), ('恩綺', 15), ('亞亞', 15), ('葉元之', 15), ('顧立雄', 14), ('黃國昌', 14), ('陳淑姿', 13), ('李慧芝', 12), ('韓國瑜', 12), ('卓揆', 12), ('朱立倫', 12), ('沈慶京', 12), ('沈伯洋', 12), ('曹興誠', 11), ('蘇意舜', 11), ('林宸頡', 10), ('賴清美', 10), ('馬文君', 10), ('蘇敬哲', 9), ('張元杰', 9), ('楊植斗', 9), ('鍾小平', 9), ('黃偉財', 8), ('楊岳達', 8), ('魏汶萱', 8), ('林佳龍', 7), ('吳思瑤', 7), ('許智傑', 7), ('立雄', 7), ('林秉州', 7), ('翁曉玲', 7), ('馮浩宇', 7), ('陳玉珍', 7), ('陳蜀強', 7), ('蘇素娥', 7), ('黃珊珊', 7), ('李俊俋', 7), ('蔡昀彤', 6), ('林俊憲', 6), ('王定宇', 6), ('羅智強', 6), ('郭致汎', 6), ('郭瑤琪', 6), ('李彥秀', 6), ('葉元', 6), ('岩崎茂', 6), ('蔡秋明', 6), ('謝長廷', 6), ('鄭麗君', 5), ('張峻', 5), ('清德', 5), ('李進勇', 5), ('邱垂正', 5), ('劉醇唯', 5), ('黃捷', 5), ('賈永婕', 5), ('苗博雅', 5), ('郭雅慧', 4), ('楊珍妮', 4), ('王鴻薇', 4), ('賴士葆', 4), ('游錫堃', 4), ('呂欣玫', 4), ('黃子庭', 4), ('陳智源', 4), ('彭以德', 4), ('曼德勒', 4), ('謝龍介', 4), ('賴瑞隆', 4), ('梁文傑', 4), ('林沛祥', 4), ('明良臻', 4), ('游智彬', 4), ('戴瑋姍', 4), ('李多慧', 4), ('吳欣盈', 4), ('李鴻鈞', 4), ('殷瑋', 4), ('黃品寧', 4), ('王秋冬', 4), ('蔡畹鎣', 4), ('余祥', 4), ('游竹萍', 4), ('劉揚偉', 3), ('鍾佳濱', 3), ('蘇紫雲', 3), ('陳智菡', 3), ('李坤城', 3), ('吳琪銘', 3), ('管碧玲', 3), ('小微', 3), ('黃建賓', 3), ('鄭英耀', 3), ('應曉薇', 3), ('李文宗', 3), ('蔡其昌', 3), ('曾文生', 3), ('邱俊榮', 3), ('羅文嘉', 3), ('陳惠珍', 3), ('巧芯', 3), ('張安樂', 3), ('谷立言', 3), ('林德福', 3), ('鄭銘謙', 3), ('詹鎮榮', 3), ('林麗瑩', 3), ('蕭文生', 3), ('鄭純惠', 3), ('陳慈陽', 3), ('謝寒冰', 3), ('郝愷悌', 3), ('李政軒', 3), ('陳斌華', 3), ('沈世偉', 3), ('洪仲丘', 3), ('張善政', 2), ('伍勝園', 2), ('許勝雄', 2), ('蕭秉儀', 2), ('吳釗燮', 2), ('何晉滄', 2), ('士葆', 2), ('莊翠雲', 2), ('楊文豪', 2), ('吳尚雨', 2), ('施毅', 2), ('羅美玲', 2), ('桂芝', 2), ('王廷升', 2), ('榮泰', 2), ('張建一', 2), ('紅恩綺', 2), ('中配亞亞', 2), ('廖偉翔', 2), ('區桂枝', 2), ('台北', 2), ('沈慶京具', 2), ('吳沛憶', 2), ('蘇巧慧', 2), ('何欣純', 2), ('陳瑩', 2), ('伍麗華', 2), ('林明昕', 2), ('陳亭妃', 2), ('佩琪', 2), ('桑輔成', 2), ('劉振', 2), ('吳俊毅', 2), ('鍾威霆', 2), ('陳勁曄', 2), ('李文娟', 2), ('盧秀燕', 2), ('鍾東錦', 2), ('楊金龍', 2), ('簡舒培', 2), ('顏若芳', 2), ('唐寶寶', 2), ('朱亞虎', 2), ('楊紫瓊', 2), ('蔡英文', 2), ('謝志誠', 2), ('吳子嘉', 2), ('陳培瑜', 2), ('Lucky', 2), ('謝克洋', 2), ('吳宗憲', 2), ('徐榛蔚', 2), ('崐萁', 2), ('周羿希', 2), ('劉女', 2), ('羅廷瑋', 2), ('洪慈庸', 2), ('洪慈', 2), ('李頂立', 2), ('世堅', 1), ('裕隆', 1), ('施振榮', 1), ('陳俊聖', 1), ('胡書賓', 1), ('郭國文', 1), ('4號', 1), ('蕭睿陞', 1), ('楊祥瑜', 1), ('余苓瑀', 1), ('劉醇維', 1)]"
運動,"[('陳傑憲', 125), ('林昱珉', 52), ('曾豪駒', 36), ('張育成', 35), ('李洋', 30), ('陳偉殷', 29), ('林郁婷', 29), ('江國豪', 29), ('王博玄', 28), ('林佳緯', 27), ('孫易磊', 25), ('林智勝', 24), ('徐若熙', 24), ('林子偉', 23), ('吳念庭', 23), ('林家正', 23), ('蔡其昌', 22), ('陳文杰', 22), ('林昀儒', 21), ('蔣少宏', 20), ('謝淑薇', 18), ('宋晟睿', 17), ('王齊麟', 17), ('張奕', 17), ('張建偉', 16), ('沙子宸', 16), ('陳柏毓', 16), ('陳子豪', 16), ('莊陳仲敖', 15), ('李雅英', 14), ('劉芝宇', 14), ('李宗賢', 14), ('李珠', 13), ('朱育賢', 13), ('林安可', 12), ('李相秀', 11), ('陳宇宏', 11), ('徐翔聖', 11), ('陳重羽', 11), ('曾峻岳', 10), ('伍祐城', 10), ('鄭宗哲', 10), ('郭俊麟', 10), ('辜仲諒', 10), ('林昀', 9), ('李珠珢', 9), ('大谷翔平', 9), ('高宇杰', 9), ('陳柏清', 8), ('林岳平', 8), ('許維智', 8), ('潘傑楷', 8), ('曹家宜', 7), ('尼加拉瓜', 7), ('麟洋配', 7), ('陳冠偉', 7), ('蕭美琴', 7), ('江坤宇', 6), ('王孜筠', 6), ('張政禹', 6), ('傑憲', 6), ('金恩', 6), ('黃明聖', 6), ('古林睿煬', 6), ('戴資穎', 6), ('王柏融', 6), ('克雷爾', 6), ('莊昕', 6), ('卓榮泰', 6), ('賴清德', 6), ('張本智', 5), ('王秋明', 5), ('李佳豪', 5), ('清宮幸太郎', 5), ('李維拉', 5), ('陳柏豪', 5), ('札馬拉', 5), ('林維恩', 5), ('李東洺', 5), ('王楚欽', 5), ('鄭世忠', 5), ('陳睦衡', 5), ('林凱威', 5), ('陳世凱', 5), ('黃恩賜', 5), ('雅英', 4), ('李丹妃', 4), ('石宇奇', 4), ('恩卡納西昂', 4), ('林佳', 4), ('陳韻文', 4), ('陳仲敖', 4), ('林睿煬', 4), ('古林', 4), ('陳傑', 4), ('安古羅', 4), ('艾斯特拉達', 4), ('利諾', 4), ('王博', 4), ('呂詠臻', 4), ('呂彥青', 4), ('佐佐木朗希', 4), ('燕九郎', 4), ('蔣萬安', 4), ('金元中', 4), ('奧絲塔朋科', 4), ('吳芳嫺', 4), ('林書豪', 4), ('陳冠宇', 4), ('王威', 4), ('王建民', 4), ('杜凱恩', 4), ('黃筱雯', 4), ('周震泉', 4), ('黃子鵬', 4), ('古素琴', 4), ('岳東華', 4), ('五千', 3), ('安芝', 3), ('菊池桃子', 3), ('盧柏璁', 3), ('王孜筠\u3000', 3), ('林品瑄', 3), ('廉世彬', 3), ('念庭', 3), ('柯曼列茲', 3), ('賀南德茲', 3), ('貝爾崔', 3), ('瓦列里歐', 3), ('艾瓦列茲', 3), ('道森', 3), ('阿列古利亞', 3), ('尼加拉', 3), ('木朗希', 3), ('大谷', 3), ('佐木朗希', 3), ('味全龍', 3), ('余苓瑀', 3), ('克莉芙', 3), ('林詩棟', 3), ('曾子祐', 3), ('茲維列夫', 3), ('陳昭如', 3), ('布林克娃', 3), ('李哲輝', 3), ('戴培峰', 3), ('彭俊銘', 3), ('邱智呈', 3), ('陳晨威', 3), ('賈永婕', 3), ('林高遠', 2), ('松島', 2), ('劉基鴻', 2), ('王志群', 2), ('莊瑞雄', 2), ('蘇泰安', 2), ('安芝儇', 2), ('書弘', 2), ('Wander Encarnación', 2), ('費爾柴德', 2), ('晟睿', 2), ('山本由伸', 2), ('維智', 2), ('梅賽斯', 2), ('趙士強', 2), ('彭政閔', 2), ('拉索', 2), ('高飛球', 2), ('宋晟', 2), ('宋晟睿 ', 2), ('台北', 2), ('米蘭達', 2), ('崔伯', 2), ('博玄', 2), ('雷法', 2), ('曾豪', 2), ('詩棟', 2), ('高承睿', 2), ('劉泳暐', 2), ('達布羅斯基', 2), ('魯特利夫', 2), ('田中真', 2), ('王威晨', 2), ('楊博軒', 2), ('李灝宇', 2), ('彰化', 2), ('王惠美', 2), ('王勝偉', 2), ('練芳妤', 2), ('羅旻翁', 2), ('凱恩', 2), ('鄭艮祐', 2), ('范德沃斯特', 2), ('陳怡安', 2), ('陳玉銘', 2), ('昱珉', 2), ('莊昕諺', 2), ('賴坤成', 2), ('春訓', 2), ('江國', 2)]"
娛樂,"[('金賽綸', 177), ('金秀賢', 118), ('大S', 75), ('汪小菲', 61), ('具俊曄', 56), ('王大陸', 47), ('方大同', 41), ('張蘭', 35), ('郭泓志', 30), ('張綺云', 26), ('金秀', 25), ('徐熙媛', 25), ('黃子佼', 22), ('曾國城', 20), ('趙駿亞', 18), ('張學友', 17), ('卜學亮', 16), ('孫生', 16), ('薛凱琪', 15), ('熙媛', 15), ('韓星', 14), ('Andy', 14), ('許富凱', 14), ('姚元浩', 13), ('陳妍希', 13), ('陶晶瑩', 12), ('李鎮浩', 12), ('李多慧', 11), ('吳婉君', 11), ('蕭敬騰', 10), ('侯佩岑', 10), ('周杰倫', 9), ('孟耿如', 9), ('徐乃麟', 9), ('陳君豪', 9), ('曹雅雯', 9), ('賽綸', 8), ('杜力', 8), ('小S', 8), ('奧斯卡', 8), ('楊大正', 8), ('包偉銘', 7), ('家寧', 7), ('錢薇娟', 7), ('吳心緹', 7), ('林依晨', 7), ('陶喆', 7), ('林芯儀', 6), ('包偉', 6), ('許修銘', 6), ('曾淑惠', 6), ('玄彬', 6), ('黃瑄', 6), ('李安', 6), ('伊莎達娜', 6), ('安德林布洛迪', 6), ('盧彥澤', 6), ('何宜珊', 6), ('賈永婕', 6), ('張惠妹', 5), ('林俊傑', 5), ('李雅英', 5), ('張振寰', 5), ('金哈克曼', 5), ('麥琪麥迪遜', 5), ('微博', 5), ('黃鐙輝', 5), ('陳樞育', 5), ('孫其君', 5), ('塗翔文', 5), ('王祖賢', 5), ('范瑋琪', 5), ('曾莞婷', 5), ('陳漢典', 5), ('田馥', 4), ('陶昕然', 4), ('顏佑庭', 4), ('錢姐', 4), ('黎安友', 4), ('朱智勛', 4), ('蔡嘉駿', 4), ('許光漢', 4), ('蔡潔米', 4), ('彭小刀', 4), ('尹昭德', 4), ('艾諾拉', 4), ('布洛迪', 4), ('黛咪摩爾', 4), ('鄧紫棋', 4), ('愛愛愛', 4), ('潘君侖', 4), ('蓋瑞', 4), ('阿夫', 4), ('孫綻', 4), ('高慧君', 4), ('吳青峰', 4), ('李俊昊', 4), ('小菲', 4), ('陳曉', 4), ('羅志祥', 4), ('朱孝天', 4), ('徐熙娣', 4), ('蔡康永', 4), ('王治平', 4), ('王秋明', 3), ('李敏鎬', 3), ('黃聖權', 3), ('張信智', 3), ('金賽', 3), ('王孜筠', 3), ('周渝民', 3), ('YouTub', 3), ('李珠珢', 3), ('楊宗諺', 3), ('陳德容', 3), ('莊錠欣', 3), ('林益如', 3), ('李承庭', 3), ('Bella', 3), ('星大S', 3), ('黃春梅', 3), ('泰妍', 3), ('李炯九', 3), ('李度潤', 3), ('吳宗憲', 3), ('盧柏璁', 3), ('徐睿知', 3), ('柯有倫', 3), ('周曉涵', 3), ('IG', 3), ('麥琪·麥迪遜', 3), ('影帝', 3), ('西恩貝克', 3), ('王心凌', 3), ('曾子余', 3), ('黃恩賜', 3), ('林亭翰', 3), ('謝麗金', 3), ('王偉忠', 3), ('帕克', 3), ('蔡依林', 3), ('王盈凱', 3), ('陳玹宇', 3), ('陳建州', 3), ('俊曄', 3), ('孫德榮', 3), ('Rain', 3), ('高捷', 3), ('Netflix', 3), ('詹惟', 3), ('劉芝宇', 2), ('莎莎', 2), ('木村拓哉', 2), ('台北', 2), ('吳彥祖', 2), ('中孝介', 2), ('金城武', 2), ('顏志琳', 2), ('趙駿', 2), ('何建澤', 2), ('南珉貞', 2), ('中文', 2), ('祖雄', 2), ('韓星金秀賢', 2), ('YouTuber', 2), ('郭哥', 2), ('卜學', 2), ('黃河', 2), ('郭柏鴻', 2), ('吳映潔', 2), ('孫藝真', 2), ('王崇睿', 2), ('張家寧', 2), ('金世義', 2), ('JJ林俊傑', 2), ('女星大S', 2), ('曹雨婷', 2), ('林明璇', 2), ('沈世潤', 2), ('林春來', 2), ('謝艾純', 2), ('Matzka', 2), ('李沁', 2), ('陳建國', 2), ('梅樹師', 2), ('麥教授', 2), ('伊凡', 2), ('沙丘：', 2), ('賈克歐迪亞', 2), ('Lisa', 2), ('亞莉安娜', 2), ('R&B', 2), ('鄧紫琪', 2), ('王力宏', 2), ('林亭', 2), ('潘君', 2), ('顏佑', 2), ('林艾璇', 2), ('伍佰', 2), ('具俊', 2)]"
國際,"[('川普', 295), ('普亭', 55), ('尹錫悅', 41), ('澤倫斯基', 28), ('杜特蒂', 27), ('哈瑪斯', 18), ('陳韋仁', 16), ('張永騰', 16), ('劉泳暐', 16), ('韋仁', 14), ('卡尼', 12), ('盧特尼克', 10), ('石破茂', 10), ('尹錫', 10), ('瓦爾茲', 10), ('赫格塞斯', 10), ('方基墨', 9), ('黃仁勳', 9), ('張立德', 8), ('范斯', 8), ('黎安友', 8), ('伊瑪莫魯', 8), ('魏科夫', 8), ('拜登', 7), ('馬斯克', 7), ('陳毓麟', 6), ('闕帝慈', 6), ('馬克宏', 6), ('敏昂萊', 6), ('盧比歐', 6), ('巴拉爾', 6), ('胡塞', 6), ('星巴克', 6), ('林祐', 5), ('布克', 5), ('李威特', 5), ('林祐任', 4), ('曼德勒', 4), ('吳連哲', 3), ('劉人豪', 3), ('邱楷雯', 3), ('卡尼（Mark Carney', 3), ('賴清德', 3), ('劉泳暐 ', 3), ('加巴德', 3), ('鄭義宣', 3), ('魏摩爾', 3), ('艾爾', 3), ('賀錦麗', 3), ('羅伯茲', 3), ('輝達', 3), ('賈西亞', 3), ('呂特', 3), ('艾瑞克', 2), ('貝森特', 2), ('蘇林', 2), ('亞馬遜', 2), ('克魯曼', 2), ('艾班尼斯', 2), ('朱鳳蓮', 2), ('葉門胡塞', 2), ('林祐任 ', 2), ('何丹曦', 2), ('郭鎧紋', 2), ('阿特曼', 2), ('崎駿', 2), ('貝東塔', 2), ('查爾斯三世', 2), ('查爾斯', 2), ('施凱爾', 2), ('范德賴恩', 2), ('劉世芳', 2), ('陳斌華', 2), ('奧斯卡', 2), ('江郎', 2), ('高知', 2), ('伊瑪', 2), ('秋澤格勒', 2), ('希拉蕊', 2), ('波斯柏格', 2), ('李維特', 2), ('威廉斯', 2), ('納坦雅胡', 2), ('佛契', 2), ('魏哲家', 2), ('魏哲', 2), ('杜魯道', 2), ('葛瑞尤', 2), ('邱楷雯 ', 2), ('毛寧', 2), ('薩拉', 2), ('斯基', 2), ('習近平', 2), ('薛恩鮑姆', 2), ('onald Trump', 1), ('川普6', 1), ('哈塞特', 1), ('歐盟', 1), ('洪馬內4號', 1), ('詹妮莫', 1), ('卡琳凱勒蘇特', 1), ('Karin Keller-Sutter', 1), ('沃爾瑪', 1), ('TikTok', 1), ('高川普', 1), ('ne', 1), ('rd L', 1), ('羅比尼', 1), ('l Roubini', 1), ('胡佛', 1), ('貝希爾', 1), ('CNN', 1), ('奎斯特', 1), ('朴槿惠', 1), ('盧武鉉', 1), ('卡尼宣', 1), ('布里奇斯', 1), ('盧卡博', 1), ('banes', 1), ('nbaum', 1), ('王毅', 1), ('哲家', 1), ('冰人', 1), ('摩西', 1), ('格塞斯', 1), ('沃龍佐夫', 1), ('克魯茲', 1), ('凱恩', 1), ('國會', 1), ('賴清', 1), ('敏昂', 1), ('布魯斯', 1), ('世衛', 1), ('瓦爾', 1), ('奧特曼', 1), ('維爾克', 1), ('巫文嘉\u3000', 1), ('岩屋毅', 1), ('立德', 1), ('林宸頡', 1), ('陳建國', 1), ('蔡昀', 1), ('李伊婷', 1), ('28號', 1), ('宮崎駿', 1), ('阿瓦', 1), ('勃固', 1), ('韋生吉', 1), ('李艷彬', 1), ('巴戈', 1), ('哈里恩滕', 1), ('赫格塞斯（Pete ', 1), ('萬萬', 1), ('Usha Vance', 1), ('陳毓麟\u3000', 1), ('巴德', 1), ('夏夫', 1), ('史蒂文斯', 1), ('沈伯洋', 1), ('吳思瑤', 1), ('黃捷', 1), ('林達', 1), ('林俊言', 1), ('林俊廷', 1), ('溫子渝', 1), ('陳柏源', 1), ('金主曹興誠', 1), ('倫斯基', 1), ('拉夫洛夫', 1), ('列辛亞克', 1), ('川普 ', 1), ('赫格塞斯（Pete Hegseth', 1), (' 陳韋仁', 1), ('巫文嘉 ', 1), ('陳毓麟 ', 1), ('博德曼江郎', 1), ('博德曼', 1), ('歐巴馬', 1), (' 川普', 1), ('張川普', 1), ('斯克', 1), ('黎安', 1), ('盧比', 1), ('奧澤爾', 1), ('白雪', 1), ('彼得汀克雷', 1), ('蓋兒加朵', 1), ('西蒙', 1), ('博勵治', 1), ('魯道', 1), ('巴達威', 1), ('吳連哲 ', 1), ('Joe Biden', 1), ('Hillary Clinton）', 1), ('布林肯', 1), ('Liz Cheney', 1), ('金辛格', 1), ('詹樂霞', 1), ('曼哈頓地區', 1), ('布拉格', 1)]"
地方,"[('黃仁勳', 22), ('黃偉哲', 13), ('林谷隆', 10), ('周春米', 10), ('余孟潔', 9), ('盧秀燕', 9), ('金秀賢', 8), ('陳可親', 7), ('黃富祺', 6), ('汪奕嘉', 5), ('布丁', 5), ('蕭美琴', 5), ('吳柔廷', 5), ('楊芯宇', 5), ('聖貝', 5), ('張麗善', 5), ('陳緗淇', 4), ('王勝炫', 4), ('劉啟宇', 4), ('蘇世偉', 4), ('陳勁曄', 4), ('黃鈺君', 4), ('蔣介石', 4), ('蘇俊賓', 4), ('丘尼', 4), ('蕭志遠', 3), ('張愷廷', 3), ('王郁文', 3), ('儒艮', 3), ('王夢婷', 3), ('張興傑', 3), ('徐誌謙', 3), ('何佩珊', 3), ('金賽綸', 3), ('金秀', 3), ('高雄', 3), ('王秀成', 3), ('于臻', 3), ('鄭艮祐', 3), ('周郁庭', 3), ('吳淑鳳', 3), ('陳淳禎', 3), ('曾如成', 3), ('陳柏璋', 3), ('林雅', 3), ('吳郭魚', 3), ('林書弘', 2), ('清明', 2), ('郭鎧紋', 2), ('沈咨沂', 2), ('郁文\u3000', 2), ('王超群', 2), ('曾淑慧', 2), ('蔡佩旻', 2), ('王晨瀧', 2), ('劉麟祥', 2), ('李正偉', 2), ('拉阿魯', 2), ('貝神', 2), ('蔡志恆', 2), ('蔡長育', 2), ('鄧銘\u3000', 2), ('梁子玥', 2), ('練芳妤', 2), ('達古阿里', 2), ('蔡崇梧', 2), ('許乃文', 2), ('唐美雲', 2), ('李安', 2), ('陳俊達', 2), ('姜淋煌', 2), ('潘欣宜', 2), ('戴榮懋', 2), ('劉憲治', 2), ('余苓瑀', 2), ('顏先生', 2), ('吳祥三', 2), ('林素琴', 2), ('柯承浩', 2), ('廖俊德', 1), ('瀾宮媽祖', 1), ('林師賢', 1), ('綠博', 1), ('柯宏志', 1), ('韓國瑜', 1), ('江啟臣', 1), ('黃國榮', 1), ('顏清標', 1), ('大甲', 1), ('楊華美', 1), ('吳祥三\u3000', 1), ('陳代安', 1), ('陳榮楷', 1), ('吳慶鐘', 1), ('宜蘭', 1), ('楊明融', 1), ('侯友宜', 1), ('吳彥德', 1), ('張宇勛', 1), ('致堯', 1), ('林茂盛', 1), ('曾鉦琮', 1), ('簡美玲', 1), ('桃機', 1), ('陳振榮', 1), ('練方妤', 1), ('陳俊龍', 1), ('魏茂彬', 1), ('陳光復', 1), ('桑輔成', 1), ('楊文豪', 1), ('邱鼎文', 1), ('戴榮懋\u3000', 1), ('魯哇', 1), ('吳淑楨', 1), ('徐裕', 1), ('龍外埔', 1), ('徐裕逢', 1), ('葉淑芬', 1), ('金賽綸 ', 1), ('曾祥瑜', 1), ('張男', 1), ('張軒智', 1), ('張姓男', 1), ('鄧伯群', 1), ('黃彥男', 1), ('徐榛蔚', 1), ('饒慶鈴', 1), ('陳彥伯', 1), ('陳勁燁', 1), ('楊明', 1), ('饒慶龍', 1), ('陳建村', 1), ('劉逢良', 1), ('涉霸凌', 1), ('黃鈺君\u3000', 1), ('鄭男', 1), ('王郁文\u3000', 1), ('李文雄', 1), ('沈咨沂\u3000', 1), ('Oponoho', 1), ('米貢祭', 1), ('立向', 1), ('Malubi', 1), ('uba祖', 1), ('林展祺', 1), ('黃仁杰', 1), ('周宜卿', 1), ('鄭宇凱', 1), ('劉彥伶', 1), ('曾雅婷', 1), ('于臻\u3000', 1), ('陳思妤', 1), ('章梁', 1), ('翁章', 1), ('吳俊誠', 1), ('吳明勳', 1), ('張善', 1), ('陳美秀', 1), ('呂文廷', 1), ('殷世熙', 1), ('徐筱卿', 1), ('魏慈緯', 1), ('陳建榮', 1), ('莊棋淵', 1), ('清清', 1), ('王銘仁', 1), ('米塔', 1), ('張善政', 1), ('陳世凱', 1), ('于恬', 1), ('黃明勝', 1), ('紀延儒', 1), ('逢甲', 1), ('葉誌明', 1), ('王超羣', 1), ('思樂冰', 1), ('林怡', 1), ('徐男', 1), ('聖筊', 1), ('秋安', 1), ('黃于', 1), ('吳健富', 1), ('陳文山', 1), ('楊祥瑜', 1), ('陳紀諭', 1), ('吳逸民', 1), ('張綺云', 1), ('林益新', 1), ('李男', 1), ('謝黃仁勳', 1), ('蔡祺', 1), ('王朝藝', 1), ('林世賢', 1), ('蔡宛儒', 1), ('張傑鈞', 1), ('翠峰', 1), ('趙俊欽', 1), ('欣健', 1), ('陳虹如', 1)]"
全部,"[('川普', 330), ('金賽綸', 180), ('金秀賢', 126), ('陳傑憲', 125), ('柯文哲', 110), ('傅崐萁', 89), ('卓榮泰', 85), ('賴清德', 84), ('大S', 75), ('蔣萬安', 72), ('汪小菲', 61), ('具俊曄', 56), ('普亭', 55), ('林昱珉', 52), ('王大陸', 47), ('方大同', 41), ('尹錫悅', 41), ('劉世芳', 40), ('柯建銘', 37), ('曾豪駒', 36), ('張育成', 35), ('張蘭', 35), ('郭智輝', 31), ('陳佩琪', 31), ('黃仁勳', 31), ('李洋', 30), ('郭泓志', 30), ('陳偉殷', 29), ('林郁婷', 29), ('江國豪', 29), ('王博玄', 28), ('金秀', 28), ('澤倫斯基', 28), ('蕭美琴', 27), ('林佳緯', 27), ('張綺云', 27), ('杜特蒂', 27), ('蔡其昌', 25), ('孫易磊', 25), ('徐熙媛', 25), ('徐巧芯', 24), ('林智勝', 24), ('徐若熙', 24), ('林子偉', 23), ('吳念庭', 23), ('林家正', 23), ('王世堅', 22), ('劉振亞', 22), ('陳文杰', 22), ('黃子佼', 22), ('林昀儒', 21), ('蔣少宏', 20), ('曾國城', 20), ('李雅英', 19), ('謝淑薇', 18), ('劉泳暐', 18), ('趙駿亞', 18), ('哈瑪斯', 18), ('宋晟睿', 17), ('王齊麟', 17), ('張奕', 17), ('張學友', 17), ('陳韋仁', 17), ('張建偉', 16), ('劉芝宇', 16), ('沙子宸', 16), ('陳柏毓', 16), ('陳子豪', 16), ('卜學亮', 16), ('孫生', 16), ('張永騰', 16), ('區桂芝', 15), ('恩綺', 15), ('亞亞', 15), ('李宗賢', 15), ('葉元之', 15), ('李多慧', 15), ('莊陳仲敖', 15), ('薛凱琪', 15), ('熙媛', 15), ('顧立雄', 14), ('黃國昌', 14), ('賈永婕', 14), ('李珠', 14), ('黃偉哲', 14), ('韓星', 14), ('Andy', 14), ('許富凱', 14), ('韋仁', 14), ('韓國瑜', 13), ('陳淑姿', 13), ('沈伯洋', 13), ('朱育賢', 13), ('姚元浩', 13), ('陳妍希', 13), ('李慧芝', 12), ('卓揆', 12), ('朱立倫', 12), ('沈慶京', 12), ('李珠珢', 12), ('林安可', 12), ('陶晶瑩', 12), ('黎安友', 12), ('李鎮浩', 12), ('卡尼', 12), ('林宸頡', 11), ('盧秀燕', 11), ('曹興誠', 11), ('尹錫', 11), ('蘇意舜', 11), ('李相秀', 11), ('陳宇宏', 11), ('徐翔聖', 11), ('陳重羽', 11), ('吳婉君', 11), ('賴清美', 10), ('馬文君', 10), ('曾峻岳', 10), ('伍祐城', 10), ('鄭宗哲', 10), ('郭俊麟', 10), ('余孟潔', 10), ('辜仲諒', 10), ('蕭敬騰', 10), ('侯佩岑', 10), ('奧斯卡', 10), ('盧特尼克', 10), ('石破茂', 10), ('瓦爾茲', 10), ('赫格塞斯', 10), ('林谷隆', 10), ('周春米', 10), ('蘇敬哲', 9), ('張元杰', 9), ('楊岳達', 9), ('楊植斗', 9), ('鍾小平', 9), ('林昀', 9), ('王孜筠', 9), ('大谷翔平', 9), ('高宇杰', 9), ('周杰倫', 9), ('孟耿如', 9), ('徐乃麟', 9), ('陳君豪', 9), ('曹雅雯', 9), ('方基墨', 9), ('吳思瑤', 8), ('黃偉財', 8), ('曼德勒', 8), ('陳蜀強', 8), ('魏汶萱', 8), ('王秋明', 8), ('陳柏清', 8), ('林岳平', 8), ('許維智', 8), ('潘傑楷', 8), ('黃恩賜', 8), ('陳可親', 8), ('賽綸', 8), ('杜力', 8), ('小S', 8), ('李安', 8), ('楊大正', 8), ('張立德', 8), ('范斯', 8), ('伊瑪莫魯', 8), ('魏科夫', 8), ('林佳龍', 7), ('許智傑', 7), ('立雄', 7), ('林秉州', 7), ('翁曉玲', 7), ('馮浩宇', 7), ('陳玉珍', 7), ('陳勁曄', 7), ('盧比歐', 7), ('蘇素娥', 7), ('黃珊珊', 7), ('李俊俋', 7), ('陳世凱', 7), ('黃富祺', 7), ('曹家宜', 7), ('尼加拉瓜', 7), ('黃明聖', 7), ('麟洋配', 7), ('陳冠偉', 7), ('包偉銘', 7), ('家寧', 7), ('錢薇娟', 7), ('吳心緹', 7), ('林依晨', 7), ('陳毓麟', 7), ('陶喆', 7), ('拜登', 7), ('馬斯克', 7), ('余苓瑀', 6), ('蔡昀彤', 6), ('林俊憲', 6), ('王定宇', 6)]"
