name,value
freqByDate,"[{'x': '2025-03-10', 'y': 7}, {'x': '2025-03-11', 'y': 5}, {'x': '2025-03-12', 'y': 4}, {'x': '2025-03-13', 'y': 2}, {'x': '2025-03-14', 'y': 3}, {'x': '2025-03-15', 'y': 4}, {'x': '2025-03-16', 'y': 3}, {'x': '2025-03-17', 'y': 6}, {'x': '2025-03-18', 'y': 4}, {'x': '2025-03-19', 'y': 2}, {'x': '2025-03-20', 'y': 2}, {'x': '2025-03-21', 'y': 2}, {'x': '2025-03-22', 'y': 3}, {'x': '2025-03-23', 'y': 1}, {'x': '2025-03-24', 'y': 6}, {'x': '2025-03-25', 'y': 4}, {'x': '2025-03-26', 'y': 2}, {'x': '2025-03-27', 'y': 4}, {'x': '2025-03-28', 'y': 2}, {'x': '2025-03-29', 'y': 1}, {'x': '2025-03-30', 'y': 0}, {'x': '2025-03-31', 'y': 6}, {'x': '2025-04-01', 'y': 4}, {'x': '2025-04-02', 'y': 3}, {'x': '2025-04-03', 'y': 7}, {'x': '2025-04-04', 'y': 13}, {'x': '2025-04-05', 'y': 7}, {'x': '2025-04-06', 'y': 7}, {'x': '2025-04-07', 'y': 4}]"
freqByCate,"[118, 24, 94, 0]"
category,"['全部', '政治', '國際', '地方']"
num_frequency,536
num_occurrence,118
