category,top_keys
政治,"[('台灣', 353), ('中國', 196), ('國家', 147), ('立委', 145), ('台北', 137), ('政府', 136), ('美國', 129), ('立法院', 129), ('關稅', 113), ('國民黨', 111), ('總統', 108), ('柯文哲', 106), ('軍事', 105), ('民進黨', 99), ('移民署', 90), ('傅崐萁', 88), ('產業', 87), ('卓榮泰', 82), ('言論', 80), ('政治', 79), ('賴清德', 77), ('亞亞', 70), ('蔣萬安', 68), ('我國', 67), ('措施', 64), ('行政院', 63), ('政策', 63), ('媒體', 62), ('人民', 60), ('中共', 60), ('人員', 59), ('預算', 58), ('立院', 56), ('社會', 55), ('法院', 54), ('會議', 53), ('國際', 53), ('監察院', 53), ('中央', 52), ('行政', 51), ('司法', 50), ('北市', 48), ('規定', 48), ('時間', 47), ('制度', 47), ('民眾', 45), ('活動', 44), ('策略', 43), ('爭議', 43), ('裕隆', 43), ('國人', 42), ('院長', 42), ('柯建銘', 42), ('統戰', 42), ('議員', 41), ('內政部', 41), ('劉世芳', 39), ('機關', 39), ('武統', 38), ('軍人', 38), ('行政院長', 37), ('問題', 37), ('國安', 37), ('總召', 37), ('國防部', 37), ('法律', 37), ('衝擊', 36), ('川普', 35), ('黨團', 35), ('報告', 35), ('助理', 35), ('電價', 35), ('關係', 34), ('方式', 34), ('記者會', 34), ('威脅', 34), ('經濟部', 33), ('陳佩琪', 33), ('經濟', 32), ('案件', 32), ('兩岸', 31), ('郭智輝', 31), ('公司', 30), ('檢察官', 30), ('程序', 30), ('台電', 30), ('議場', 30), ('勢力', 29), ('徐巧芯', 29), ('南非', 29), ('新聞', 28), ('影響', 28), ('律師', 28), ('行為', 28), ('花蓮', 28), ('影片', 28), ('企業', 27), ('條例', 27), ('委員會', 27), ('發言人', 27)]"
運動,"[('台灣', 477), ('台灣隊', 235), ('世界', 225), ('棒球', 199), ('投手', 183), ('球員', 180), ('經典賽', 172), ('選手', 169), ('資格賽', 150), ('球迷', 140), ('陳傑憲', 136), ('冠軍', 134), ('西班牙', 126), ('比賽', 109), ('日本', 99), ('台北', 96), ('賽事', 85), ('安打', 78), ('教練', 70), ('職棒', 69), ('中華隊', 64), ('南非', 61), ('打者', 60), ('曾豪駒', 60), ('中職', 58), ('國際', 54), ('球隊', 53), ('美國', 53), ('隊長', 52), ('林昱珉', 52), ('尼加拉瓜', 50), ('網友', 47), ('機會', 46), ('大聯盟', 46), ('生涯', 45), ('新聞', 43), ('合約', 43), ('英雄', 43), ('台視', 41), ('巨蛋', 40), ('球團', 38), ('對手', 37), ('二壘', 37), ('總教練', 37), ('附加賽', 37), ('張育成', 36), ('門票', 36), ('名單', 36), ('教練團', 36), ('棒球賽', 35), ('統一獅', 34), ('時間', 34), ('記者會', 32), ('陳偉殷', 32), ('王博玄', 32), ('江國豪', 32), ('現場', 31), ('成績', 31), ('林佳緯', 31), ('林郁婷', 31), ('林智勝', 30), ('隊友', 30), ('中信', 30), ('表現', 30), ('球場', 29), ('味全龍', 29), ('吳念庭', 29), ('獎金', 28), ('羽球', 28), ('韓國', 27), ('紀錄', 27), ('兄弟', 27), ('民眾', 27), ('公司', 27), ('東京', 27), ('林家正', 27), ('富邦', 26), ('聯盟', 26), ('中華', 26), ('壓力', 26), ('機場', 26), ('奧運', 26), ('小將', 26), ('徐若熙', 26), ('金牌', 26), ('好手', 25), ('啦啦隊', 25), ('全壘打', 25), ('李珠珢', 25), ('宋晟睿', 25), ('狀況', 25), ('張奕', 25), ('林昀儒', 24), ('影片', 24), ('大谷翔平', 24), ('孫易磊', 24), ('李洋', 24), ('資格', 23), ('日本隊', 23), ('春訓', 23)]"
娛樂,"[('金秀賢', 216), ('金賽綸', 179), ('大S', 169), ('公司', 153), ('台灣', 135), ('台北', 117), ('網友', 110), ('時間', 105), ('粉絲', 95), ('汪小菲', 92), ('藝人', 85), ('影片', 71), ('聲明', 67), ('節目', 66), ('王大陸', 66), ('台視', 65), ('具俊曄', 65), ('內容', 64), ('家人', 64), ('演唱會', 59), ('日本', 59), ('女星', 56), ('新聞', 53), ('家寧', 51), ('方大同', 51), ('頻道', 50), ('消息', 47), ('母親', 47), ('照片', 46), ('中國', 45), ('女兒', 45), ('音樂', 44), ('媽媽', 44), ('活動', 43), ('老師', 43), ('張蘭', 43), ('歌手', 41), ('期間', 41), ('曾國城', 41), ('品牌', 40), ('社群', 40), ('研究所', 39), ('生活', 39), ('事件', 38), ('演員', 37), ('爭議', 36), ('S媽', 36), ('中文', 35), ('橫豎', 35), ('孩子', 35), ('奧斯卡', 35), ('律師', 34), ('電影', 33), ('典禮', 33), ('家屬', 32), ('韓國', 30), ('郭泓志', 30), ('南韓', 30), ('媒體', 30), ('方式', 30), ('流感', 30), ('朋友', 29), ('關係', 29), ('歌迷', 29), ('演藝圈', 29), ('巨蛋', 28), ('國際', 28), ('觀眾', 27), ('張綺云', 27), ('經典', 27), ('韓星', 27), ('徐熙媛', 27), ('作品', 26), ('高雄', 26), ('平台', 26), ('風波', 26), ('世界', 26), ('熙媛', 26), ('記者會', 25), ('美國', 25), ('社會', 25), ('骨灰', 25), ('單位', 24), ('身體', 24), ('帳號', 24), ('黃子佼', 24), ('問題', 23), ('爆料', 23), ('過程', 22), ('香港', 22), ('女友', 22), ('情緒', 22), ('導演', 22), ('卜學亮', 22), ('肺炎', 22), ('歌曲', 21), ('法律', 21), ('孫生', 21), ('演出', 20), ('對話', 20)]"
國際,"[('美國', 509), ('川普', 327), ('關稅', 247), ('國際', 206), ('總統', 193), ('中心', 159), ('緬甸', 136), ('中國', 127), ('民眾', 111), ('台灣', 99), ('國家', 82), ('政府', 82), ('烏克蘭', 78), ('泰國', 73), ('當地', 72), ('時間', 65), ('地震', 65), ('規模', 64), ('強震', 62), ('加拿大', 60), ('全球', 56), ('協議', 55), ('白宮', 54), ('日本', 53), ('俄國', 52), ('小時', 50), ('曼谷', 50), ('普亭', 49), ('格陵蘭', 49), ('南韓', 46), ('大樓', 46), ('尹錫悅', 45), ('經濟', 44), ('當局', 44), ('人員', 44), ('歐盟', 41), ('行動', 41), ('汽車', 41), ('總理', 41), ('台幣', 39), ('指數', 37), ('地區', 37), ('法院', 37), ('機場', 37), ('晶片', 36), ('美方', 35), ('戰爭', 35), ('澤倫斯基', 35), ('附近', 34), ('台積電', 33), ('俄羅斯', 32), ('公司', 31), ('以色列', 31), ('貿易', 30), ('組織', 30), ('消息', 30), ('狀態', 30), ('現場', 30), ('官員', 28), ('建築', 28), ('商品', 27), ('災情', 27), ('杜特蒂', 27), ('陳韋仁 ', 26), ('專家', 26), ('問題', 25), ('媒體', 25), ('軍事', 25), ('畫面', 25), ('歐洲', 24), ('活動', 23), ('英國', 23), ('人數', 22), ('企業', 21), ('災區', 21), ('民主黨', 20), ('計畫', 20), ('首都', 20), ('原因', 20), ('丹麥', 20), ('太空人', 20), ('跌幅', 19), ('政治', 19), ('人士', 19), ('國會', 19), ('法官', 19), ('發言人', 19), ('菲律賓', 19), ('波音', 19), ('教育部', 19), ('股市', 18), ('基礎', 18), ('美股', 18), ('產品', 18), ('外媒', 18), ('期間', 18), ('卡尼', 18), ('醫院', 18), ('曼德勒', 18), ('美軍', 18)]"
地方,"[('民眾', 202), ('人員', 95), ('現場', 89), ('桃園', 85), ('台中', 79), ('地震', 70), ('高雄', 68), ('台灣', 63), ('業者', 62), ('活動', 62), ('警方', 57), ('花蓮', 56), ('男子', 54), ('燈會', 53), ('學生', 45), ('台南', 42), ('嘉義', 41), ('政府', 41), ('文化', 40), ('家長', 39), ('大樓', 39), ('公司', 38), ('中心', 37), ('報導', 37), ('智慧', 37), ('台中市', 36), ('衛生局', 35), ('市府', 35), ('時間', 34), ('國際', 34), ('人潮', 33), ('原因', 33), ('網友', 32), ('屏東', 29), ('廟方', 28), ('校長', 28), ('附近', 27), ('彰化', 26), ('期間', 26), ('台視', 26), ('新聞', 26), ('科技', 26), ('南投', 26), ('問題', 25), ('新竹', 25), ('夜市', 25), ('交通', 24), ('部落', 24), ('路段', 24), ('醫院', 23), ('道路', 23), ('資料', 23), ('旅客', 22), ('黃仁勳', 22), ('工廠', 21), ('資訊', 21), ('日本', 21), ('員工', 21), ('環境', 20), ('台鐵', 20), ('宜蘭', 20), ('小時', 20), ('世界', 20), ('主題', 20), ('規模', 20), ('區域', 20), ('車輛', 20), ('族人', 20), ('雲林', 19), ('畫面', 19), ('孩子', 19), ('網路', 19), ('居民', 19), ('苗栗', 19), ('轎車', 19), ('城市', 19), ('環保局', 19), ('高雄市', 18), ('列車', 18), ('媽祖', 18), ('狀況', 18), ('地方', 18), ('火勢', 18), ('廣告', 18), ('紅包', 18), ('市長', 18), ('作業', 18), ('女子', 18), ('彩券行', 18), ('遊覽車', 18), ('意外', 17), ('廠商', 17), ('縣府', 17), ('遊客', 17), ('單位', 17), ('行為', 16), ('儀式', 16), ('消息', 16), ('朋友', 16), ('老師', 16)]"
全部,"[('台灣', 1127), ('美國', 718), ('民眾', 402), ('中國', 398), ('國際', 375), ('台北', 373), ('川普', 366), ('關稅', 360), ('總統', 319), ('世界', 297), ('時間', 285), ('公司', 279), ('政府', 267), ('國家', 263), ('日本', 243), ('台灣隊', 235), ('中心', 229), ('金秀賢', 227), ('人員', 216), ('網友', 215), ('棒球', 202), ('活動', 194), ('球員', 184), ('投手', 183), ('金賽綸', 183), ('現場', 182), ('經典賽', 174), ('選手', 172), ('大S', 169), ('新聞', 162), ('緬甸', 161), ('台視', 153), ('立委', 152), ('資格賽', 150), ('球迷', 141), ('地震', 140), ('冠軍', 139), ('媒體', 137), ('影片', 136), ('陳傑憲', 136), ('立法院', 134), ('軍事', 131), ('西班牙', 130), ('粉絲', 125), ('聲明', 121), ('消息', 119), ('比賽', 119), ('產業', 116), ('問題', 116), ('政治', 115), ('法院', 114), ('國民黨', 111), ('桃園', 109), ('高雄', 109), ('內容', 108), ('言論', 107), ('柯文哲', 106), ('期間', 105), ('台中', 104), ('機場', 103), ('民進黨', 102), ('社會', 102), ('記者會', 102), ('小時', 101), ('當地', 100), ('爭議', 98), ('全球', 98), ('措施', 96), ('泰國', 95), ('花蓮', 95), ('規模', 94), ('報導', 94), ('南非', 94), ('狀況', 93), ('家人', 93), ('政策', 92), ('方式', 92), ('藝人', 92), ('汪小菲', 92), ('我國', 91), ('社群', 91), ('男子', 91), ('業者', 91), ('移民署', 90), ('賽事', 90), ('大樓', 90), ('會議', 89), ('卓榮泰', 89), ('事件', 89), ('機會', 88), ('節目', 88), ('傅崐萁', 88), ('賴清德', 87), ('孩子', 86), ('經濟', 85), ('單位', 85), ('南韓', 83), ('關係', 81), ('規定', 81), ('原因', 81)]"
